Source,Target,Weight
MichaelHudgins,gpupuck,1
MichaelHudgins,chsigg,1
MichaelHudgins,beckerhe,2
MichaelHudgins,xhochy,2
MichaelHudgins,xinxinmo,2
MichaelHudgins,ermilovmaxim,1
chsigg,gpupuck,1
beckerhe,gpupuck,1
gpupuck,xhochy,1
gpupuck,xinxinmo,1
ermilovmaxim,gpupuck,1
beckerhe,chsigg,3
chsigg,xhochy,1
chsigg,xinxinmo,1
chsigg,ermilovmaxim,1
beckerhe,xhochy,2
beckerhe,xinxinmo,2
beckerhe,ermilovmaxim,1
xhochy,xinxinmo,2
ermilovmaxim,xhochy,1
ermilovmaxim,xinxinmo,1
Google-ML-Automation,tensorflower-gardener,2
olegshyshkov,tensorflower-gardener,4
beckerhe,tensorflower-gardener,2
majnemer,tensorflower-gardener,4
jurahul,tensorflower-gardener,4
bchetioui,tensorflower-gardener,2
pschuh,tensorflower-gardener,4
nouiz,tensorflower-gardener,4
WillFroom,tensorflower-gardener,2
tensorflower-gardener,yunxing,4
bixia1,tensorflower-gardener,4
blakehechtman,tensorflower-gardener,4
anlunx,tensorflower-gardener,4
berkinilbeyi,tensorflower-gardener,4
ghpvnist,tensorflower-gardener,2
ZixuanJiang,tensorflower-gardener,2
junwhanahn,tensorflower-gardener,1
tensorflower-gardener,timshen91,4
GleasonK,tensorflower-gardener,2
Google-ML-Automation,ezhulenev,2
Google-ML-Automation,hawkinsp,4
Google-ML-Automation,akuegel,3
Google-ML-Automation,cheshire,2
Google-ML-Automation,jreiffers,2
Google-ML-Automation,ddunl,3
Google-ML-Automation,klucke,2
Google-ML-Automation,pifon2a,2
Google-ML-Automation,olegshyshkov,2
Google-ML-Automation,d0k,3
Google-ML-Automation,beckerhe,2
Google-ML-Automation,majnemer,2
Google-ML-Automation,jurahul,2
Google-ML-Automation,chsigg,3
Google-ML-Automation,bchetioui,3
Google-ML-Automation,pschuh,3
Google-ML-Automation,nouiz,2
Google-ML-Automation,WillFroom,2
Google-ML-Automation,yunxing,2
Google-ML-Automation,bixia1,3
Google-ML-Automation,blakehechtman,2
Google-ML-Automation,anlunx,2
Google-ML-Automation,berkinilbeyi,2
Google-ML-Automation,ghpvnist,3
Google-ML-Automation,ZixuanJiang,3
Google-ML-Automation,junwhanahn,1
Google-ML-Automation,timshen91,2
GleasonK,Google-ML-Automation,3
ezhulenev,olegshyshkov,4
beckerhe,ezhulenev,2
ezhulenev,majnemer,4
ezhulenev,jurahul,4
bchetioui,ezhulenev,2
ezhulenev,pschuh,4
ezhulenev,nouiz,4
WillFroom,ezhulenev,2
ezhulenev,yunxing,4
bixia1,ezhulenev,4
blakehechtman,ezhulenev,4
anlunx,ezhulenev,4
berkinilbeyi,ezhulenev,4
ezhulenev,ghpvnist,2
ZixuanJiang,ezhulenev,2
ezhulenev,junwhanahn,1
ezhulenev,timshen91,4
GleasonK,ezhulenev,2
hawkinsp,olegshyshkov,4
beckerhe,hawkinsp,2
hawkinsp,majnemer,5
hawkinsp,jurahul,4
bchetioui,hawkinsp,4
hawkinsp,pschuh,5
hawkinsp,nouiz,4
WillFroom,hawkinsp,2
hawkinsp,yunxing,4
bixia1,hawkinsp,5
blakehechtman,hawkinsp,4
anlunx,hawkinsp,4
berkinilbeyi,hawkinsp,4
ghpvnist,hawkinsp,3
ZixuanJiang,hawkinsp,3
hawkinsp,junwhanahn,1
hawkinsp,timshen91,4
